,,,,,,,
RK,TEAM,Q1A,Q1,Q2,Q1&2,Q3,Q4
1,Michigan 2,4-4,9-6,10-0,19-6,2-0,7-0
2,Michigan St. 2,7-3,13-4,6-2,19-6,5-0,4-0
3,Auburn 5,2-7,5-7,13-2,18-9,3-0,4-0
4,Villanova 6,1-3,5-6,13-3,18-9,3-0,4-0
5,Kansas 4,5-7,11-8,7-1,18-9,5-0,2-0
6,Duke 1,9-4,11-4,6-1,17-5,7-0,5-0
7,Virginia 1,8-3,12-3,4-0,16-3,6-0,7-0
8,Houston 3,3-1,6-3,10-0,16-3,5-0,10-0
9,Texas Tech 3,3-4,8-5,8-0,16-5,3-1,7-0
10,LSU 3,5-2,9-3,7-3,16-6,7-0,3-0
11,Kentucky 2,7-4,10-5,6-1,16-6,6-0,5-0
12,North Carolina 1,9-4,10-6,6-0,16-6,7-0,4-0
13,Marquette 5,2-2,10-5,6-3,16-8,1-1,7-0
14,Purdue 3,2-6,7-7,9-1,16-8,3-1,4-0
15,Tennessee 2,7-5,9-5,6-0,15-5,8-0,5-0
16,Wisconsin 5,1-7,10-8,5-2,15-10,4-0,4-0
17,Florida St. 4,6-4,8-5,6-1,14-6,6-1,7-0
18,Kansas St. 4,5-4,7-5,7-3,14-8,8-0,3-0
19,Seton Hall 10,2-2,7-8,7-3,14-11,3-2,3-0
20,Cincinnati 7,1-4,5-4,8-1,13-5,9-0,6-1
21,Maryland 6,1-6,6-8,6-1,12-9,5-1,5-0
22,Baylor 9,3-5,4-9,8-1,12-10,2-1,5-2
23,Mississippi St. 5,2-6,8-7,4-3,12-10,7-0,4-0
24,Arizona St. 11,1-1,3-3,8-3,11-6,5-2,6-2
25,Virginia Tech 4,3-6,4-8,7-0,11-8,5-0,8-0
26,Iowa 10,1-5,4-10,7-0,11-10,5-1,6-0
27,Georgetown,1-1,5-6,6-5,11-11,1-2,7-0
28,Iowa St. 6,6-4,8-7,3-4,11-11,6-0,6-0
29,Minnesota 10,3-6,5-10,6-2,11-12,5-1,5-0
30,Oklahoma 9,1-8,4-10,7-2,11-12,8-1,0-0
31,Gonzaga 1,2-2,4-3,6-0,10-3,9-0,11-0
32,Washington 9,0-3,2-4,8-3,10-7,9-1,7-0
33,St. John's 11,1-2,5-7,5-3,10-10,3-2,8-0
34,Alabama,1-8,3-10,7-3,10-13,5-2,3-0
35,Wofford 7,0-4,3-4,6-0,9-4,4-0,13-0
36,Louisville 7,3-8,4-11,5-1,9-12,7-1,4-0
37,Xavier,0-4,4-9,5-4,9-13,3-2,6-0
38,TCU,2-7,3-9,6-4,9-13,7-0,4-0
