Conference,Team,Appearance,Last bid
America East,Vermont,8th,2019
American,Houston,23rd,2021
Atlantic 10,Richmond,10th,2011
ACC,Virginia Tech,13th,2021
ASUN,Jacksonville State[A],2nd,2017
Big 12,Kansas,50th,2021
Big East,Villanova,41st,2021
Big Sky,Montana State,4th,1996
Big South,Longwood,1st,Never
Big Ten,Iowa,28th,2021
Big West,Cal State Fullerton,4th,2018
CAA,Delaware,6th,2014
C-USA,UAB,16th,2015
Horizon,Wright State,4th,2018
Ivy League,Yale,6th,2019
MAAC,Saint Peter's,4th,2011
MAC,Akron,5th,2013
MEAC,Norfolk State,3rd,2021
Missouri Valley,Loyola Chicago,8th,2021
Mountain West,Boise State,8th,2015
NEC,Bryant,1st,Never
Ohio Valley,Murray State,18th,2019
Pac-12,Arizona,36th,2018
Patriot,Colgate,5th,2021
SEC,Tennessee,23rd,2021
Southern,Chattanooga,12th,2016
Southland,Texas A&M–Corpus Christi,2nd,2007
SWAC,Texas Southern,10th,2021
Summit League,South Dakota State,6th,2018
Sun Belt,Georgia State,6th,2019
WCC,Gonzaga,24th,2021
WAC,New Mexico State,26th,2019
