RK,TEAM,Q1A,Q1,Q2,Q1&2,Q3,Q4
1,Kansas 1,4-4,12-5,8-1,20-6,5-0,3-0
2,Baylor 1,4-4,10-5,8-1,18-6,2-0,6-0
3,Villanova 2,5-4,7-6,10-1,17-7,5-0,4-0
4,Wisconsin 3,7-2,9-3,7-2,16-5,4-2,4-0
5,Tennessee 3,4-7,11-7,5-0,16-7,4-0,6-0
6,Arizona 1,4-2,6-3,9-0,15-3,9-0,7-0
7,Auburn 2,3-3,8-5,7-0,15-5,8-0,4-0
8,Texas Tech 3,5-5,8-9,7-0,15-9,1-0,9-0
9,Providence 4,4-2,5-3,9-2,14-5,6-0,5-0
10,Kentucky 2,3-6,9-7,5-0,14-7,4-0,8-0
11,Purdue 3,5-5,8-6,6-1,14-7,7-0,6-0
12,Colorado St. 6,1-2,5-3,8-1,13-4,3-1,8-0
13,UCLA 4,2-4,5-4,8-2,13-6,8-1,4-0
14,Boise St. 8,2-1,6-3,7-3,13-6,7-0,6-1
15,Connecticut 5,2-4,5-6,8-3,13-9,3-0,7-0
16,Michigan St. 7,5-8,5-9,8-2,13-11,6-1,3-0
17,Alabama 6,4-6,8-8,5-3,13-11,5-2,1-0
18,Gonzaga 1,5-2,10-3,2-0,12-3,1-0,13-0
19,Duke 2,3-1,6-2,6-3,12-5,8-1,8-0
20,Arkansas 4,5-2,7-6,5-1,12-7,6-1,7-0
21,Iowa 5,3-5,4-6,8-3,12-9,7-0,7-0
22,Illinois 4,5-3,6-6,6-3,12-9,6-0,4-0
23,Houston 5,0-3,1-4,10-1,11-5,10-0,8-0
24,Wyoming 12,0-3,4-5,7-1,11-6,3-2,10-0
25,Creighton 9,2-5,7-6,4-4,11-10,6-1,5-0
26,LSU 6,2-6,6-9,5-1,11-10,6-1,5-0
27,Saint Mary's 5,2-5,4-7,6-0,10-7,5-0,9-0
28,San Diego St. 8,1-3,5-8,5-0,10-8,6-0,7-0
29,Ohio St. 7,3-5,5-5,5-5,10-10,6-1,3-0
30,Texas 6,3-7,5-10,5-1,10-11,3-0,8-0
31,TCU 9,4-6,8-8,2-4,10-12,4-0,6-0
32,Marquette 9,4-5,5-7,5-5,10-12,4-0,5-0
33,Iowa St. 11,2-8,9-8,1-4,10-12,2-0,8-0
34,Oklahoma,3-8,4-12,6-2,10-14,2-1,6-0
35,USC 7,2-4,4-4,5-1,9-5,11-2,6-0
36,Miami FL 10,2-1,4-3,5-4,9-7,9-3,5-0
37,San Francisco 10,0-5,4-6,5-2,9-8,5-0,9-1
38,Rutgers 11,5-5,6-6,3-4,9-10,4-2,5-1
39,Virginia Tech 11,1-2,3-5,6-5,9-10,7-2,7-0
40,Texas A&M,3-7,4-10,5-0,9-10,5-2,8-0
41,Seton Hall 8,2-5,6-7,3-3,9-10,8-0,3-0
42,Xavier,0-5,5-8,4-3,9-11,5-2,4-0
43,Loyola Chicago 10,1-1,3-2,5-4,8-6,7-1,9-0
44,Dayton,1-0,3-2,5-4,8-6,6-1,9-3
45,Memphis 9,2-1,5-4,3-4,8-8,8-2,5-0
46,Indiana 12,2-7,4-8,4-4,8-12,5-1,7-0
47,Michigan 11,4-8,5-10,3-3,8-13,6-1,3-0
48,West Virginia,0-10,2-16,6-1,8-17,1-0,7-0
49,Colorado,1-5,1-6,6-2,7-8,5-3,9-0
50,Virginia,1-5,4-7,3-1,7-8,5-4,7-1
RK,TEAM,Q1-A,Q1,Q2,Q1&2,Q3,Q4
51,BYU,1-4,4-6,3-3,7-9,3-0,10-1
52,Richmond 12,0-0,1-2,6-9,7-11,10-0,6-1
53,South Carolina,0-7,3-8,4-3,7-11,5-2,5-0
54,Oregon,3-4,4-5,3-7,7-12,3-2,8-0
55,Florida,1-5,3-10,4-2,7-12,5-0,7-1
56,Oklahoma St.,2-7,4-10,3-3,7-13,4-1,4-1
