,Team,preds
2,Houston,2.010026176704898
0,Connecticut,2.0110397482930966
1,Purdue,2.0110397482930966
1,Iowa St.,2.3609314910506694
12,Tennessee,2.404218576797853
5,Arizona,2.4667421174444013
3,North Carolina,2.695068612391737
6,Marquette,2.812656276373607
2,Illinois,2.8513813037219435
7,Creighton,3.4947948721607
9,Baylor,3.503626337285045
13,Kansas,3.584461345007918
3,Auburn,3.675684822509877
15,Duke,3.895019774010296
17,Alabama,5.1031463828660835
10,Wisconsin,5.244047235820973
20,Florida,5.549504164852121
24,San Diego St.,5.649952750105382
16,BYU,5.965381762506162
49,Kentucky,5.971080965633573
22,Clemson,6.276030723054295
47,Dayton,6.633860640554263
21,Texas Tech,6.790161320131318
51,Texas,6.854298261385921
45,Nevada,7.129404192787516
6,Saint Mary's,7.505583933073356
44,Utah St.,7.64252684515102
27,Washington St.,7.787187019103733
32,Nebraska,7.832524916482272
18,Florida Atlantic,7.8815820837503425
62,Gonzaga,7.9051893457212925
54,Mississippi St.,8.216151830761314
14,Texas A&M,8.243587559026956
7,New Mexico,8.264960103883064
31,Northwestern,8.292788699624717
37,Oklahoma,8.544916229138044
19,Colorado,8.911817915644734
53,TCU,9.073681008225343
87,Indiana St.,9.379672697555579
9,Drake,9.855029978394397
23,Virginia,10.093803406968165
4,Oregon,10.31222265218866
41,Providence,10.617897675602935
34,Seton Hall,10.62651494006296
42,Michigan St.,11.093636085517998
11,Grand Canyon,11.295871984695799
121,Princeton,11.322308383979262
20,James Madison,11.33571782279416
12,McNeese St.,11.580364605944508
5,N.C. State,12.3736794999798
15,Samford,13.72666097180065
16,Vermont,13.847214765133094
28,Boise St.,13.95421990263543
22,Charleston,14.181487825233019
29,Pittsburgh,14.257229972156836
17,Oakland,14.262206064210423
36,Wake Forest,14.271997475052622
30,Colorado St.,14.32543709720101
25,St. John's,14.346880053994647
29,Morehead St.,14.600041433435939
19,Western Kentucky,14.626562863779029
35,Villanova,14.629290451999886
18,Akron,14.63770689142816
25,Colgate,14.65022172520839
80,Ohio St.,14.661911637134784
38,Kansas St.,14.880941815944013
50,VCU,14.902495906088014
64,Syracuse,14.945688480130693
71,Richmond,14.969328500645593
65,Cincinnati,14.984424781335294
55,Utah,14.999217214855102
24,Stetson,15.00975407303221
28,South Dakota St.,15.031798744578987
21,Longwood,15.073801965386416
83,Virginia Tech,15.0844510957685
52,Iowa,15.103503902740771
27,Saint Peter's,15.146003929178962
8,Duquesne,15.148069800814802
88,Loyola Chicago,15.149501850588207
30,Howard,15.151899223613187
70,Memphis,15.160149275558089
31,Grambling St.,15.161804633122223
26,Wagner,15.18878638582622
14,Yale,15.20265321900114
23,Montana St.,15.207606216550507
40,Indiana,15.232169650728935
10,UAB,15.236414691776389
59,Butler,15.285472801265925
60,Xavier,15.300007705766353
26,Florida St.,15.308379507425528
100,Appalachian St.,15.308644233763061
79,Mississippi,15.399991892504174
69,South Florida,15.404150617207373
13,Long Beach St.,15.46323992383882
74,UCF,15.468806325664545
110,Bradley,15.505246637519505
185,Cornell,15.507126427036988
73,UNLV,15.610962677639044
228,Quinnipiac,15.623881805331282
67,Washington,15.64269357348087
213,Little Rock,15.645125157474766
84,Boston College,15.64645172524292
216,High Point,15.652089306200315
92,LSU,15.65484009356083
251,St. Thomas,15.659870738188276
252,Montana,15.672004769004522
206,San Francisco,15.672115683119841
159,Austin Peay,15.6802500161301
260,North Dakota,15.682563882482569
117,Weber St.,15.691363128881084
151,Troy,15.691553609812246
138,SMU,15.69450106068163
274,Tennessee Martin,15.694542387887443
81,Minnesota,15.695994686387598
176,UC Irvine,15.697561342847692
66,UCLA,15.69876808757958
172,Louisiana Tech,15.699841492361864
256,Eastern Kentucky,15.700475912258483
170,Lipscomb,15.706126644249094
227,Northern Colorado,15.70754363141321
307,Lamar,15.707706146701005
146,Fairfield,15.710386636349645
143,North Texas,15.711143052493632
332,Eastern Washington,15.711866151662365
313,Texas A&M Corpus Chris,15.711960732867942
104,Tarleton St.,15.712833369837938
150,Norfolk St.,15.713381513685057
152,American,15.714404150593815
233,Ohio,15.71638657647459
296,Arkansas Pine Bluff,15.717967589125344
133,Charlotte,15.71799656206552
299,Merrimack,15.71824156168717
136,Belmont,15.720469999442516
95,St. Bonaventure,15.722116775936565
272,Western Illinois,15.72293953195053
245,North Carolina Central,15.723209139763258
56,Georgia Tech,15.723781182972177
125,UNC Greensboro,15.72560271891377
168,UMass Lowell,15.725637644495876
268,Milwaukee,15.726091134235737
286,Denver,15.7277706359866
183,Bucknell,15.728752709162615
113,Georgia,15.728944698717774
300,North Florida,15.730461341274264
