TEAM,CONF,W-L,BPI,BPI RK,TREND,OFF,DEF,OVR W-L,CONF W-L,WIN CONF%,REM SOS RK
Gonzaga Bulldogs,WCC,31-1,21.3,1,--,15,6.3,31.0-1.0,15.0-0.0,>99.9%,-
Baylor Bears,Big 12,28-2,20.7,2,--,13.9,6.8,28.0-2.0,13.0-1.0,>99.9%,-
Houston Cougars,American,28-4,18.3,3,--,9.9,8.4,28.0-4.0,14.0-3.0,<0.1%,-
Illinois Fighting Illini,Big Ten,24-7,17.6,4,--,9.7,8,24.0-7.0,16.0-4.0,<0.1%,-
Michigan Wolverines,Big Ten,23-5,17.4,5,--,9.7,7.7,23.0-5.0,14.0-3.0,>99.9%,-
Iowa Hawkeyes,Big Ten,22-9,17,6,--,14.3,2.7,22.0-9.0,14.0-6.0,<0.1%,-
Villanova Wildcats,Big East,18-7,15.1,7,--,10.9,4.2,18.0-7.0,11.0-4.0,>99.9%,-
Texas Tech Red Raiders,Big 12,18-11,14.4,8,1,6.5,7.9,18.0-11.0,9.0-8.0,<0.1%,-
Alabama Crimson Tide,SEC,26-7,14.4,9,1,5.8,8.6,26.0-7.0,16.0-2.0,>99.9%,-
USC Trojans,Pac-12,25-8,14.3,10,2,7,7.3,25.0-8.0,15.0-5.0,<0.1%,-
Ohio State Buckeyes,Big Ten,21-10,14.2,11,--,10.6,3.6,21.0-10.0,12.0-8.0,<0.1%,-
Virginia Cavaliers,ACC,18-7,13.9,12,--,8,5.8,18.0-7.0,13.0-4.0,>99.9%,-
Arkansas Razorbacks,SEC,25-7,13.5,13,--,6.4,7.1,25.0-7.0,13.0-4.0,<0.1%,-
Tennessee Volunteers,SEC,18-9,13.3,14,--,5,8.3,18.0-9.0,10.0-7.0,<0.1%,-
Loyola Chicago Ramblers,MVC,26-5,13.2,15,--,5.6,7.7,26.0-5.0,16.0-2.0,>99.9%,-
Wisconsin Badgers,Big Ten,18-13,13.2,16,--,6,7.2,18.0-13.0,10.0-10.0,<0.1%,-
Creighton Bluejays,Big East,22-9,13.1,17,--,8,5,22.0-9.0,14.0-6.0,<0.1%,-
Colorado Buffaloes,Pac-12,23-9,13.1,18,--,7.4,5.7,23.0-9.0,14.0-6.0,<0.1%,-
Florida State Seminoles,ACC,18-7,12.7,19,--,7,5.7,18.0-7.0,11.0-4.0,<0.1%,-
LSU Tigers,SEC,19-10,12.6,20,1,11.2,1.4,19.0-10.0,11.0-6.0,<0.1%,-
UConn Huskies,Big East,15-8,12.5,21,1,6.4,6.1,15.0-8.0,11.0-6.0,<0.1%,-
Texas Longhorns,Big 12,19-8,12.4,22,--,6.7,5.7,19.0-8.0,11.0-6.0,<0.1%,-
San Diego State Aztecs,Mountain West,23-5,12.2,23,--,5.3,6.9,23.0-5.0,14.0-3.0,>99.9%,-
West Virginia Mountaineers,Big 12,19-10,12,24,--,8.1,3.9,19.0-10.0,11.0-6.0,<0.1%,-
Kansas Jayhawks,Big 12,21-9,12,25,--,5.3,6.7,21.0-9.0,12.0-6.0,<0.1%,-
North Carolina Tar Heels,ACC,18-11,11.7,26,1,5.1,6.6,18.0-11.0,10.0-6.0,<0.1%,-
Purdue Boilermakers,Big Ten,18-10,11.6,27,1,6.2,5.4,18.0-10.0,13.0-6.0,<0.1%,-
UCLA Bruins,Pac-12,22-10,11.4,28,4,8.1,3.3,22.0-10.0,13.0-6.0,<0.1%,-
St. Bonaventure Bonnies,A 10,16-5,11.3,29,1,5.2,6.2,16.0-5.0,11.0-4.0,>99.9%,-
Oregon Ducks,Pac-12,21-7,11.2,30,--,8.2,3,21.0-7.0,14.0-4.0,>99.9%,-
Duke Blue Devils,ACC,13-11,11.1,31,2,7.7,3.4,13.0-11.0,9.0-9.0,<0.1%,-
BYU Cougars,WCC,20-7,11.1,32,1,6.6,4.5,20.0-7.0,10.0-3.0,<0.1%,-
Oklahoma Sooners,Big 12,16-11,11,33,1,6.4,4.6,16.0-11.0,9.0-8.0,<0.1%,-
Syracuse Orange,ACC,18-10,10.9,34,1,6.8,4.2,18.0-10.0,9.0-7.0,<0.1%,-
Memphis Tigers,American,20-8,10.8,35,--,1.6,9.2,20.0-8.0,11.0-4.0,<0.1%,-
Florida Gators,SEC,15-10,10.3,36,--,5.8,4.5,15.0-10.0,9.0-7.0,<0.1%,-
