,,,,,,,,,,,
TEAM,CONF,W-L,BPI,BPI RK,TREND,OFF,DEF,OVR W-L,CONF W-L,WIN CONF%,REM SOS RK
Gonzaga Bulldogs,WCC,28-4,20.5,1,--,12.8,7.7,28.0-4.0,13.0-1.0,>99.9%,-
Houston Cougars,American,32-6,19.8,2,--,10.1,9.7,32.0-6.0,15.0-3.0,>99.9%,-
Tennessee Volunteers,SEC,27-8,18,3,1,7.1,10.9,27.0-8.0,14.0-4.0,<0.1%,-
Baylor Bears,Big 12,27-7,17.9,4,1,10.1,7.8,27.0-7.0,14.0-4.0,>99.9%,-
Kentucky Wildcats,SEC,26-8,17.7,5,2,11.1,6.6,26.0-8.0,14.0-4.0,<0.1%,-
Kansas Jayhawks,Big 12,34-6,17.6,6,2,10.9,6.7,34.0-6.0,14.0-4.0,>99.9%,-
Arizona Wildcats,Pac-12,33-4,17.6,7,1,10.5,7.1,33.0-4.0,18.0-2.0,>99.9%,-
Villanova Wildcats,Big East,30-8,17.6,8,3,10.7,6.8,30.0-8.0,16.0-4.0,<0.1%,-
Duke Blue Devils,ACC,32-7,16.8,9,--,12,4.8,32.0-7.0,16.0-4.0,>99.9%,-
Texas Tech Red Raiders,Big 12,27-10,16.5,10,--,6,10.5,27.0-10.0,12.0-6.0,<0.1%,-
Purdue Boilermakers,Big Ten,29-8,16.4,11,--,12.7,3.6,29.0-8.0,14.0-6.0,<0.1%,-
UCLA Bruins,Pac-12,27-8,16.2,12,--,9.2,6.9,27.0-8.0,15.0-5.0,<0.1%,-
Auburn Tigers,SEC,28-6,15.6,13,1,6.5,9,28.0-6.0,15.0-3.0,>99.9%,-
Iowa Hawkeyes,Big Ten,26-10,15.5,14,1,11.9,3.5,26.0-10.0,12.0-8.0,<0.1%,-
LSU Tigers,SEC,22-12,14,15,--,3.6,10.4,22.0-12.0,9.0-9.0,<0.1%,-
Illinois Fighting Illini,Big Ten,23-10,13.9,16,1,7.3,6.7,23.0-10.0,15.0-5.0,>99.9%,-
Texas Longhorns,Big 12,22-12,13.9,17,1,6,7.8,22.0-12.0,10.0-8.0,<0.1%,-
North Carolina Tar Heels,ACC,29-10,13.3,18,2,7.8,5.5,29.0-10.0,15.0-5.0,<0.1%,-
UConn Huskies,Big East,23-10,13.3,19,1,7.6,5.7,23.0-10.0,13.0-6.0,<0.1%,-
Virginia Tech Hokies,ACC,23-13,13.2,20,1,8.3,5,23.0-13.0,11.0-9.0,<0.1%,-
Arkansas Razorbacks,SEC,28-9,12.8,21,--,5.3,7.6,28.0-9.0,13.0-5.0,<0.1%,-
Saint Mary's Gaels,WCC,26-8,11.8,22,--,4.5,7.3,26.0-8.0,12.0-3.0,<0.1%,-
Memphis Tigers,American,22-11,11.8,23,--,5.6,6.2,22.0-11.0,13.0-5.0,<0.1%,-
Alabama Crimson Tide,SEC,19-14,11.6,24,1,8.2,3.4,19.0-14.0,9.0-9.0,<0.1%,-
Ohio State Buckeyes,Big Ten,20-12,11.5,25,1,8.6,2.9,20.0-12.0,12.0-8.0,<0.1%,-
