,,Team,,CONF,KPI_rk,Record,Conf_Record,Home_record,Away_record,Best,Worst,,,KPI_sos,KPI_sos_rk,Diff,ODiff,DDiff
,,Duke,,ACC,0.474,29 - 5,17 - 4,15 - 2,14 - 3,1.09 @ Virginia,-0.04 (H) Syracuse,,,0.196,7,0.252,0.126,0.126
,,Virginia,,ACC,0.451,29 - 3,17 - 3,15 - 1,14 - 2,1.06 @ North Carolina,-0.01 (N) Florida State,,,0.14,49,0.272,0.148,0.124
,,North Carolina,,ACC,0.433,27 - 6,17 - 3,14 - 2,13 - 4,1.15 @ Duke,-0.08 (N) Texas,,,0.193,8,0.212,0.116,0.096
,,Michigan State,,Big Ten,0.423,28 - 6,19 - 4,15 - 1,13 - 5,0.98 @ Michigan,-0.22 @ Illinois,,,0.183,13,0.226,0.132,0.094
,,Kansas,,Big 12,0.416,25 - 9,14 - 7,16 - 0,9 - 9,0.86 (N) Michigan State,-0.11 @ West Virginia,,,0.247,1,0.143,0.064,0.079
,,Kentucky,,SEC,0.411,27 - 6,16 - 4,17 - 1,10 - 5,0.92 (N) North Carolina,-0.05 (N) Seton Hall,,,0.177,18,0.212,0.111,0.101
,,Houston,,AAC,0.401,31 - 3,18 - 3,19 - 1,12 - 2,0.99 @ Cincinnati,-0.02 (H) UCF,,,0.09,75,0.212,0.104,0.108
,,LSU,,SEC,0.387,26 - 6,16 - 3,15 - 2,11 - 4,1.00 @ Kentucky,-0.19 (N) Oklahoma State,,,0.145,45,0.156,0.108,0.048
,,Michigan,,Big Ten,0.383,28 - 6,17 - 6,17 - 1,11 - 5,0.99 @ Villanova,-0.10 @ Penn State,,,0.162,31,0.205,0.077,0.128
,,Tennessee,,SEC,0.381,29 - 5,17 - 4,18 - 0,11 - 5,0.94 (H) Kentucky,-0.01 (N) Auburn,,,0.141,48,0.186,0.13,0.057
,,Gonzaga,,WCC,0.372,30 - 3,17 - 1,17 - 0,13 - 3,0.95 (N) Duke,-0.03 (N) St. Mary's (CA),,,0.08,82,0.306,0.179,0.128
,,Texas Tech,,Big 12,0.366,26 - 6,14 - 5,17 - 1,9 - 5,0.94 (H) Kansas,-0.16 (N) West Virginia,,,0.141,47,0.214,0.072,0.142
,,Kansas State,,Big 12,0.359,25 - 8,15 - 5,13 - 2,12 - 6,0.86 (H) Kansas,-0.13 @ Texas A&M,,,0.185,11,0.122,0.008,0.114
,,Florida State,,ACC,0.349,27 - 7,15 - 6,15 - 1,12 - 6,0.95 (N) Virginia,-0.19 @ Pittsburgh,,,0.152,37,0.148,0.061,0.087
,,Purdue,,Big Ten,0.325,23 - 9,16 - 5,15 - 0,8 - 9,0.88 (H) Michigan State,-0.23 (N) Notre Dame,,,0.183,12,0.179,0.129,0.05
