,,Team,,CONF,KPI_rk,Record,Conf_Record,Home_record,Away_record,Best,Worst,,,KPI_sos,KPI_sos_rk
,,Alabama,,SEC,0.489,29 - 5,16 - 2,15 - 0,14 - 5,1.07 @ Houston,-0.08 @ Oklahoma,,,0.198,7
,,Kansas,,Big 12,0.452,27 - 7,13 - 5,15 - 1,12 - 6,0.93 @ Missouri,-0.05 (H) TCU,,,0.229,1
,,Purdue,,Big Ten,0.406,29 - 5,15 - 5,14 - 2,15 - 3,0.94 (N) Gonzaga,-0.09 (H) Rutgers,,,0.152,25
,,Texas,,Big 12,0.384,26 - 8,12 - 6,17 - 1,9 - 7,0.97 (N) Kansas,-0.10 @ Texas Tech,,,0.183,11
,,Houston,,AAC,0.374,31 - 3,17 - 1,16 - 2,15 - 1,0.92 @ Virginia,-0.17 (H) Temple,,,0.072,90
,,San Diego State,,Mountain West,0.358,27 - 6,15 - 3,15 - 1,12 - 5,0.93 @ Utah State,-0.05 (H) New Mexico,,,0.129,35
,,Gonzaga,,WCC,0.352,28 - 5,14 - 2,15 - 1,13 - 4,0.98 (N) Alabama,-0.10 (H) Loyola Marymount,,,0.096,71
,,UCLA,,Pac-12,0.348,29 - 5,18 - 2,17 - 0,12 - 5,0.86 (H) Arizona,-0.06 (N) Illinois,,,0.112,57
,,Arizona,,Pac-12,0.346,28 - 6,14 - 6,15 - 2,13 - 4,0.90 (N) San Diego State,-0.24 @ Stanford,,,0.103,65
,,Baylor,,Big 12,0.34,22 - 10,11 - 7,14 - 3,8 - 7,0.91 (H) Kansas,-0.04 (H) TCU,,,0.198,6
,,Duke,,ACC,0.317,26 - 8,14 - 6,16 - 0,10 - 8,0.79 (N) Virginia,-0.07 @ Wake Forest,,,0.143,30
,,St. Mary's (CA),,WCC,0.315,26 - 7,14 - 2,16 - 2,10 - 5,0.87 (N) San Diego State,-0.21 (H) Colorado State,,,0.084,82
,,Tennessee,,SEC,0.312,23 - 10,11 - 7,14 - 2,9 - 8,0.98 (H) Alabama,-0.13 (N) Colorado,,,0.164,18
,,Utah State,,Mountain West,0.311,26 - 8,13 - 5,14 - 2,12 - 6,0.74 (N) Boise State,-0.37 (N) SMU,,,0.119,50
,,Kansas State,,Big 12,0.311,23 - 9,11 - 7,16 - 1,7 - 8,0.99 @ Texas,-0.18 @ Butler,,,0.168,15
,,Marquette,,Big East,0.309,28 - 6,17 - 3,17 - 1,11 - 5,0.84 (H) Baylor,-0.10 (H) Wisconsin,,,0.102,66
,,Texas A&M,,SEC,0.304,25 - 9,15 - 3,15 - 1,10 - 8,0.97 (H) Alabama,-0.40 (H) Wofford,,,0.146,28
,,Memphis,,AAC,0.295,26 - 8,13 - 5,13 - 2,13 - 6,0.95 (N) Houston,-0.14 (N) Seton Hall,,,0.116,54
,,Virginia,,ACC,0.294,25 - 7,15 - 5,15 - 1,10 - 6,0.80 (H) Duke,-0.17 @ Boston College,,,0.112,58
,,Indiana,,Big Ten,0.29,22 - 11,12 - 8,15 - 2,7 - 9,1.03 @ Purdue,-0.08 (H) Iowa,,,0.165,17
,,Connecticut,,Big East,0.287,25 - 8,13 - 7,15 - 2,10 - 6,1.01 (N) Alabama,-0.16 (H) St. John's,,,0.1,68
,,Boise State,,Mountain West,0.283,24 - 9,13 - 5,15 - 1,9 - 8,0.87 (H) Utah State,-0.16 (H) South Dakota State,,,0.113,56
,,Arkansas,,SEC,0.282,20 - 13,8 - 10,14 - 3,6 - 10,0.84 (N) San Diego State,-0.17 @ LSU,,,0.2,4
