RANK,TEAM,TREND,,NEXT GAME
1,"Gonzaga


31-1",—,,—
2,"Baylor


28-2",—,,—
3,"Illinois


24-7",—,,—
4,"Michigan


23-5",—,,—
5,"Houston


28-4",—,,—
6,"Iowa


22-9",—,,—
7,"Alabama


26-7",—,,—
8,"Ohio St.


21-10",—,,—
9,"Colgate


14-2",—,,—
10,"Loyola Chi.


26-5",—,,—
11,"Kansas


21-9",—,,—
12,"Virginia


18-7",—,,—
13,"Tennessee


18-9",—,,—
14,"Arkansas


25-7",—,,—
15,"Colorado


23-9",—,,—
16,"Texas Tech


18-11",1,,—
17,"Villanova


18-7",1,,—
18,"San Diego St


23-5",—,,—
19,"USC


25-8",—,,—
20,"BYU


20-7",—,,—
21,"Texas


19-8",—,,—
22,"Purdue


18-10",—,,—
23,"St. Bona.


16-5",4,,—
24,"West Virginia


19-10",1,,—
25,"Florida St.


18-7",1,,—
26,"Creighton


22-9",1,,—
27,"Wisconsin


18-13",1,,—
28,"LSU


19-10",—,,—
29,"Okla. St.


21-9",—,,—
30,"Connecticut


15-8",—,,—
31,"Florida


15-10",—,,—
32,"N. Carolina


18-11",—,,—
33,"Oregon


21-7",1,,—
34,"Ga. Tech


17-9",1,,—
35,"Maryland


17-14",—,,—
36,"Oklahoma


16-11",1,,—
37,"VCU


19-7",1,,—
38,"Rutgers


16-12",—,,—
39,"Utah St.


20-9",—,,—
40,"Syracuse


18-10",—,,—
41,"Clemson


16-8",—,,—
42,"Penn St.


11-14",—,,—
43,"Saint Louis


14-7",—,,—
44,"Arizona


17-9",—,,—
45,"Drake


26-5",—,,—
46,"UCLA


22-10",—,,—
47,"Missouri


16-10",—,,—
48,"Va. Tech


15-7",—,,—
49,"Duke


13-11",—,,—
50,"Boise St.


19-9",—,,—
51,"Colorado St.


20-8",—,,—
52,"Memphis


20-8",—,,—
53,"Ole Miss


16-12",—,,—
54,"UCSB


22-5",—,,—
55,"Winthrop


23-2",—,,—
56,"Louisville


13-7",—,,—
57,"Seton Hall


14-13",—,,—
58,"Davidson


13-9",—,,—
59,"North Texas


18-10",2,,—
60,"Kentucky


9-16",—,,—
61,"Xavier


13-8",2,,—
62,"Saint Mary's


14-10",—,,—
63,"Indiana


12-15",—,,—
64,"Georgetown


13-13",—,,—
65,"SMU


11-6",—,,—
66,"Auburn


13-14",—,,—
67,"Toledo


21-9",—,,—
68,"Richmond


14-9",—,,—
69,"St. John's


16-11",—,,—
70,"Michigan St.


15-13",—,,—
71,"Wright St.


18-6",—,,—
72,"Wichita St.


16-6",—,,—
73,"NC State


14-11",—,,—
