RANK,TEAM,TREND,,NEXT GAME,
1,"Houston


32-3",—,,"Sat, Mar 18 @ 7:10 pm","vs

Auburn"
2,"Alabama


30-5",—,,"Sat, Mar 18 @ 9:40 pm","vs

Maryland"
3,"UCLA


30-5",—,,"Sat, Mar 18 @ 8:40 pm","vs

Northwestern"
4,"Tennessee


24-10",—,,"Sat, Mar 18 @ 2:40 pm","vs

Duke"
5,"Purdue


29-5",—,,—,
6,"Gonzaga


28-5",—,,—,
7,"Texas


27-8",—,,"Sat, Mar 18 @ 7:45 pm","vs

Penn St."
8,"UConn


25-8",—,,"Sun, Mar 19 - TBA","vs

Saint Mary's"
9,"Kansas


28-7",—,,"Sat, Mar 18 @ 5:15 pm","vs

Arkansas"
10,"Arizona


28-7",—,,—,
11,"Saint Mary's


26-7",—,,"Sun, Mar 19 - TBA","@

UConn"
12,"Marquette


28-6",—,,"Sun, Mar 19 - TBA","vs

Michigan St."
13,"FAU


31-3",—,,"FAU 29, MEMP 23","@

Memphis"
14,"San Diego St.


28-6",—,,"Sat, Mar 18 @ 12:10 pm","vs

Furman"
15,"Baylor


22-10",—,,"Sun, Mar 19 - TBA","vs

Creighton"
16,"Duke


27-8",—,,"Sat, Mar 18 @ 2:40 pm","@

Tennessee"
17,"Creighton


21-12",—,,"Sun, Mar 19 - TBA","@

Baylor"
18,"Utah St.


26-9",1,,—,
19,"Texas A&M


25-10",1,,—,
20,"Iowa St.


19-13",—,,—,
21,"Arkansas


21-13",—,,"Sat, Mar 18 @ 5:15 pm","@

Kansas"
22,"Xavier


25-9",—,,"Sun, Mar 19 - TBA","vs

Pittsburgh"
23,"Memphis


26-8",6,,"FAU 29, MEMP 23","vs

FAU"
24,"Kansas St.


23-9",1,,"KSTATE 16, MONST 14","vs

Montana St."
25,"West Virginia


19-15",1,,—,
26,"Kentucky


21-11",1,,—,
27,"Virginia


25-8",1,,—,
28,"TCU


21-12",—,,"TCU 9, ARIZST 2","vs

Arizona St."
29,"Boise St.


24-10",2,,—,
30,"Indiana


22-11",—,,"Fri, Mar 17 @ 10:36 pm","vs

Kent St."
31,"Maryland


22-12",—,,"Sat, Mar 18 @ 9:40 pm","@

Alabama"
32,"Auburn


21-12",—,,"Sat, Mar 18 @ 7:10 pm","@

Houston"
33,"Michigan St.


19-12",—,,"Sun, Mar 19 - TBA","@

Marquette"
34,"Illinois


20-13",—,,—,
35,"Miami


25-7",—,,—,
36,"Oral Roberts


30-5",—,,—,
37,"Nevada


22-11",—,,—,
38,"North Texas


27-7",—,,"Sun, Mar 19 @ 4:00 pm","vs

Sam Houston"
39,"Iowa


19-14",—,,—,
40,"Rutgers


19-15",—,,—,
41,"Northwestern


22-11",—,,"Sat, Mar 18 @ 8:40 pm","@

UCLA"
42,"Missouri


25-9",—,,"Sat, Mar 18 @ 6:10 pm","vs

Princeton"
43,"Okla. St.


19-15",—,,"Sun, Mar 19 @ 2:00 pm","vs

E. Washington"
44,"Liberty


27-8",—,,"Sun, Mar 19 @ 12:00 pm","@

Wisconsin"
45,"NC State


23-10",—,,—,
46,"N. Carolina


20-13",—,,—,
47,"Oregon


20-14",—,,"Sun, Mar 19 @ 7:30 pm","vs

UCF"
48,"Penn St.


23-13",1,,"Sat, Mar 18 @ 7:45 pm","@

Texas"
49,"Miss. St.


21-13",1,,—,
50,"USC


22-10",—,,—,
51,"Charleston


31-4",—,,—,
52,"Ohio St.


16-19",—,,—,
53,"VCU


27-7",5,,—,
54,"New Mexico


22-12",1,,—,
55,"Drake


27-7",1,,—,
56,"Providence


21-11",1,,—,
57,"UAB


26-9",1,,"Sun, Mar 19 @ 3:00 pm","vs

Morehead St."
58,"Iona


27-7",1,,—,
59,"Kent St.


28-6",2,,"Fri, Mar 17 @ 10:36 pm","@

Indiana"
60,"Clemson


23-11",—,,—,
