Team,SAG_rating
1  Duke,95.95
2  Gonzaga,95.24
3  Virginia,95.18
4  Michigan State,94.58
5  North Carolina,93.5
6  Kentucky,91.74
7  Texas Tech,91.6
8  Michigan,90.85
9  Tennessee,90.72
10  Purdue,90.69
College Basketball 2018-2019          Div I games only    through games of 2019 April 2 Tuesday,
RATING    W   L  SCHEDL(RANK) VS top 25 | VS top 50 |  PREDICTOR   | GOLDEN_MEAN  |  RECENT,
HOME ADVANTAGE,[
11  Auburn,90.34
12  Virginia Tech,88.82
13  Kansas,88.82
14  Houston,88.7
15  Iowa State,88
16  Florida State,87.95
17  Wisconsin,87.26
18  Villanova,86.87
19  LSU,86.81
20  Kansas State,86.54
College Basketball 2018-2019          Div I games only    through games of 2019 April 2 Tuesday,
RATING    W   L  SCHEDL(RANK) VS top 25 | VS top 50 |  PREDICTOR   | GOLDEN_MEAN  |  RECENT,
HOME ADVANTAGE,[
21  Mississippi State,86
22  Nevada,85.95
23  Texas,85.88
24  Florida,85.82
25  Cincinnati,85.76
26  Buffalo,85.65
27  Oregon,85.63
28  Maryland,85.51
29  Louisville,85.48
30  Oklahoma,85.45
College Basketball 2018-2019          Div I games only    through games of 2019 April 2 Tuesday,
RATING    W   L  SCHEDL(RANK) VS top 25 | VS top 50 |  PREDICTOR   | GOLDEN_MEAN  |  RECENT,
HOME ADVANTAGE,[
31  Marquette,85.34
32  NC State,84.98
33  Central Florida(UCF),84.83
34  Wofford,84.73
35  Clemson,84.38
36  TCU,84.09
37  Iowa,84
38  Indiana,83.89
39  Nebraska,83.81
40  Saint Mary's-Cal.,83.78
College Basketball 2018-2019          Div I games only    through games of 2019 April 2 Tuesday,
RATING    W   L  SCHEDL(RANK) VS top 25 | VS top 50 |  PREDICTOR   | GOLDEN_MEAN  |  RECENT,
HOME ADVANTAGE,[
41  Syracuse,83.73
42  Baylor,83.66
43  Ohio State,83.63
44  Minnesota,83.17
45  Washington,82.83
46  Penn State,82.55
47  Creighton,82.29
48  Arkansas,82.24
49  Mississippi,82.14
50  Utah State,82.09
College Basketball 2018-2019          Div I games only    through games of 2019 April 2 Tuesday,
RATING    W   L  SCHEDL(RANK) VS top 25 | VS top 50 |  PREDICTOR   | GOLDEN_MEAN  |  RECENT,
HOME ADVANTAGE,[
51  Arizona State,81.76
52  Seton Hall,81.76
53  VCU(Va. Commonwealth),81.51
54  Belmont,81.48
55  Murray State,81.48
56  New Mexico State,81.39
57  Xavier-Ohio,81.23
58  Memphis,81.18
59  Lipscomb,81.06
60  Alabama,81.01
College Basketball 2018-2019          Div I games only    through games of 2019 April 2 Tuesday,
RATING    W   L  SCHEDL(RANK) VS top 25 | VS top 50 |  PREDICTOR   | GOLDEN_MEAN  |  RECENT,
HOME ADVANTAGE,[
61  Butler,80.82
62  Providence,80.08
63  Miami-Florida,80.06
64  Colorado,79.86
65  South Carolina,79.83
66  Oklahoma State,79.68
67  Fresno State,79.63
68  Missouri,79.57
69  Dayton,79.45
70  Wichita State,79.41
College Basketball 2018-2019          Div I games only    through games of 2019 April 2 Tuesday,
